"Route","Model","Finding ID","Severity","Adjudication (Accept/Reject/Merge)","Chosen Owner","Sprint","Definition of Done"
"/ (oando.co.in â€” Current Production)","SONNET","B-H-02","Critical","Accept","Frontend + Design","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (oando.co.in â€” Current Production)","SONNET","B-H-01","Critical","Accept","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (renameit.netlify.app â€” Redesign/Staging)","SONNET","A-H-01","Critical","Accept","Frontend + Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/contact","GPT511","CONT-01","Critical","Accept","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","PAUX","CONTACT-01","Critical","Accept","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/products/desks (category)","GPT52","CAT-1","Critical","Accept","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks/winea-pro (PDP)","GPT52","PDP-1","Critical","Accept","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/tracking","GPT511","TRACK-01","Critical","Accept","Frontend + Content","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","PAUX","TRACK-01","Critical","Accept","Frontend + Content","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","PAUX","TRACK-02","Critical","Accept","Content","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/","GPT511","HOME-01","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-1","High","Accept","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPTMD","HOME-1","High","Merge","Frontend + Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","PAUX","HOME-01","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","PAUX","HOME-04","High","Merge","Frontend + Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","PAUX","HOME-02","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (oando.co.in â€” Current Production)","SONNET","B-H-05","High","Merge","Frontend + Design","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (oando.co.in â€” Current Production)","SONNET","B-H-04","High","Merge","Frontend + Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (oando.co.in â€” Current Production)","SONNET","B-H-03","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (renameit.netlify.app â€” Redesign/Staging)","SONNET","A-H-03","High","Merge","Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (renameit.netlify.app â€” Redesign/Staging)","SONNET","A-H-02","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (renameit.netlify.app â€” Redesign/Staging)","SONNET","A-H-04","High","Merge","Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/about","GPT52","ABOUT-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","PAUX","ABOUT-01","High","Merge","Content","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","PAUX","ABOUT-02","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/brochure","GPT511","BRO-01","High","Merge","Frontend + Design","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/career","GPT52","CAR-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/career","GPTMD","CAR-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/career","PAUX","CAREER-01","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/career","PAUX","CAREER-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/catalog","GPT511","CAT-01","High","Merge","Frontend + Design","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/compare","GPT511","COMP-01","High","Merge","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT52","CMP-1","High","Accept","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPTMD","CMP-1","High","Accept","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","PAUX","COMP-02","High","Merge","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","PAUX","COMP-01","High","Merge","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/configurator","GPT511","CONF-01","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT511","CONF-02","High","Merge","Frontend + Content","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-1","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-2","High","Accept","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPTMD","CFG-1","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","PAUX","CONFIG-01","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/contact","GPT511","CONT-02","High","Merge","Frontend + Content","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT52","CT-2","High","Merge","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT52","CT-1","High","Accept","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPTMD","CON-1","High","Merge","Frontend + Content","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","PAUX","CONTACT-02","High","Merge","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/download-brochure","GPT511","DBRO-01","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/downloads","GPT511","DOWN-01","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT52","DLD-1","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPTMD","DL-1","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","PAUX","DOWN-01","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","PAUX","DOWN-02","High","Merge","Frontend + Design","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/gallery","GPT52","GAL-1","High","Merge","Frontend","Sprint 1","Responsive media and loading strategy meet performance budget with no regressions on mobile LCP/CLS."
"/imprint","PAUX","IMPRINT-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/news","GPT52","NEWS-1","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/news","PAUX","NEWS-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/planning","PAUX","PLAN-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/portfolio","GPT52","PORT-1","High","Merge","Frontend","Sprint 1","Responsive media and loading strategy meet performance budget with no regressions on mobile LCP/CLS."
"/portfolio","GPTMD","PORT-1","High","Merge","Frontend","Sprint 1","Responsive media and loading strategy meet performance budget with no regressions on mobile LCP/CLS."
"/portfolio","PAUX","PORT-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/privacy","GPT511","PRIV-02","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy","GPT511","PRIV-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy","PAUX","PRIV-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/products","GPT511","PROD-02","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT52","PROD-1","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPTMD","PROD-1","High","Accept","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","PAUX","PROD-02","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/.../winea-pro, winea-flow, winea-maxx, fluid-x, solace","GPTMD","PDP-2","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/.../winea-pro, winea-flow, winea-maxx, fluid-x, solace","GPTMD","PDP-1","High","Accept","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks (category)","GPT52","CAT-2","High","Accept","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks (category)","GPT52","CAT-3","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks/winea-pro (PDP)","GPT52","PDP-2","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks/winea-pro (PDP)","GPT52","PDP-3","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/education","GPT511","EDU-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/education/academia","GPT511","PACAD-01","High","Accept","Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating","GPT511","SEATC-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/seating","GPT511","SEATC-04","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/seating","PAUX","SEATCAT-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/seating, /workstations, /tables","GPTMD","CAT-1","High","Accept","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/classy-executive","GPT511","PCLASS-02","High","Accept","Frontend + Design","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/classy-executive","GPT511","PCLASS-01","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/oando-seating--fluid-x","PAUX","FLUIDX-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
