"Model","File","Line","Page","ID","Severity","Category","Evidence","Why","Fix"
"GPT52","GPT 52.md","81","/","HOME-1","High","Performance","Hero uses full-bleed 100vw image without srcset (`components/home/HomepageHero.tsx:11-18`)","Slower LCP on mobile, hurts SEO/CRO","Add responsive `sizes`/`srcSet` and preload appropriate widths"
"GPT52","GPT 52.md","82","/","HOME-2","Medium","Decision support","No above-fold link to catalog sections in nav bar context; first scroll to solutions grid (`app/page.tsx:32-35`)","Users seeking products must scroll, reducing product discovery","Add mini category strip under hero"
"GPT52","GPT 52.md","83","/","HOME-3","Medium","Trust/credibility","KPI source label only â€œas ofâ€ text in TrustStrip; lacks date context in UI (`app/page.tsx:28-30`)","Trust signals weaker without date clarity","Render explicit date and data source text"
"GPT52","GPT 52.md","84","/","HOME-4","Medium","Accessibility/contrast","White CTA text over gradient hero lacks WCAG contrast check (`HomepageHero.tsx:41-53`)","Potential sub-4.5:1 on light background edges","Add solid overlay or shadow to CTA buttons"
"GPT52","GPT 52.md","85","/","HOME-5","Low","Mobile responsiveness","Two-column layout persists to lg breakpoints; cards may stack late (`HomepageHero.tsx:23-24`)","Mid-sized screens may see cramped text","Adjust breakpoints to stack at md"
"GPT52","GPT 52.md","91","/about","ABOUT-1","High","CTA clarity","Hero disables button (`app/about/page.tsx:13-18`)","No primary action on entry; leaks leads","Enable CTA to contact/portfolio"
"GPT52","GPT 52.md","92","/about","ABOUT-2","Medium","IA/navigation","No breadcrumb or secondary nav (`app/about/page.tsx` lacks nav components)","Users cannot jump to team/story sections","Add local anchor nav"
"GPT52","GPT 52.md","93","/about","ABOUT-3","Medium","Trust","Stats lack source/date (`app/about/page.tsx:52-66`)","May be perceived as unsubstantiated","Add â€œUpdatedâ€ label from business stats"
"GPT52","GPT 52.md","94","/about","ABOUT-4","Medium","Accessibility","Large image missing descriptive alt (generic) (`app/about/page.tsx:23-30`)","Screen readers get little context","Provide descriptive alt text"
"GPT52","GPT 52.md","95","/about","ABOUT-5","Low","Mobile","2-column grid switches only at lg (`app/about/page.tsx:21-24`)","Risk of squished text on tablets","Use md breakpoint stacking"
"GPT52","GPT 52.md","101","/projects","PROJ-1","High","Decision support","Only client logos; no case-study links (`app/projects/page.tsx:87-104`)","Buyers canâ€™t see outcomes; lowers credibility","Link logos to 3â€“5 case snapshots"
"GPT52","GPT 52.md","102","/projects","PROJ-2","Medium","CTA clarity","Hero suppresses CTA (`app/projects/page.tsx:83-88`)","No path to contact from project context","Add â€œDiscuss a projectâ€ CTA"
"GPT52","GPT 52.md","103","/projects","PROJ-3","Medium","Evidence","KPIs show â€œas ofâ€ text but not date (`app/projects/page.tsx:77`)","Metrics unverifiable","Render date string from stats"
"GPT52","GPT 52.md","104","/projects","PROJ-4","Medium","Mobile","5-column client grid (`app/projects/page.tsx:99-104`) may overflow","Mobile readability issues","Collapse to chips with carousel on small screens"
"GPT52","GPT 52.md","105","/projects","PROJ-5","Low","Accessibility","No headings between sections (single H1 only)","Screen readers get long flat content","Add section headings (h2) before grids"
"GPT52","GPT 52.md","111","/products","PROD-1","High","CTA clarity","Hero showButton false (`app/products/page.tsx:47-54`)","No direct â€œShopâ€ or â€œGet quoteâ€ prompt","Add dual CTAs (quote + categories)"
"GPT52","GPT 52.md","112","/products","PROD-2","Medium","Discovery","CategoryGrid relies on live catalog; no count labels (`components/home/CategoryGrid.tsx:15-34`)","Users canâ€™t gauge depth per category","Add product counts/fallback labels"
"GPT52","GPT 52.md","113","/products","PROD-3","Medium","Trust","Client chips lack context (`app/products/page.tsx:115-128`)","Names alone donâ€™t prove recency","Add project year/sector tooltip"
"GPT52","GPT 52.md","114","/products","PROD-4","Medium","Mobile","Grid uses fixed 3 cols at md (`app/products/page.tsx:93-100`)","Cards squeeze on mid screens","Use responsive minmax columns"
"GPT52","GPT 52.md","115","/products","PROD-5","Low","Accessibility","Bulleted list rendered as paragraphs with hyphens (`app/products/page.tsx:63-71`)","Screen readers read as run-on text","Use semantic `<ul><li>`"
"GPT52","GPT 52.md","121","/products/desks (category)","CAT-1","Critical","Interaction UX","If Supabase offline, page shows â€œEngine - Offlineâ€ placeholder (`app/products/[category]/page.tsx:64-83`)","Category unusable; zero products shown","Cache static fallback catalog (data/products.ts)"
"GPT52","GPT 52.md","122","/products/desks (category)","CAT-2","High","SEO","generateMetadata returns empty when category missing (`app/products/[category]/page.tsx:21-40`)","Missing titles/descriptions hurts SEO","Provide defaults + 404 handling"
"GPT52","GPT 52.md","123","/products/desks (category)","CAT-3","High","CTA clarity","Hero showButton false (`app/products/[category]/page.tsx:88-95`)","No enquiry/quote CTA per category","Add â€œAdd to quoteâ€ + â€œCompareâ€ buttons"
"GPT52","GPT 52.md","124","/products/desks (category)","CAT-4","Medium","Discovery","No filters rendered until data loads (`app/products/[category]/page.tsx:98-108`)","Perceived blank state on slow API","Show skeleton filters with copy"
"GPT52","GPT 52.md","125","/products/desks (category)","CAT-5","Medium","Accessibility","Background image lacks alt (Hero)","Screen readers miss context","Provide `aria-label`/alt text"
"GPT52","GPT 52.md","131","/products/desks/winea-pro (PDP)","PDP-1","Critical","Reachability","PDP requires Supabase row; not found => 404 (`app/products/[category]/[product]/page.tsx:114-126`)","Product pages inaccessible","Seed static fallback products or SSR cache"
"GPT52","GPT 52.md","132","/products/desks/winea-pro (PDP)","PDP-2","High","Decision support","No price, lead time, warranty surfaced (`ProductViewer.tsx:211-223`)","Buyers canâ€™t evaluate value","Add price bands + SLA text"
"GPT52","GPT 52.md","133","/products/desks/winea-pro (PDP)","PDP-3","High","Interaction UX","3D model check fetches HEAD each load (`ProductViewer.tsx:114-147`)","Adds latency; fails silently","Lazy-load behind toggle with status"
"GPT52","GPT 52.md","134","/products/desks/winea-pro (PDP)","PDP-4","Medium","CTA clarity","Add-to-quote button hidden until scroll (CompareDock not visible initially)","Users may miss conversion","Surface primary CTA near hero"
"GPT52","GPT 52.md","135","/products/desks/winea-pro (PDP)","PDP-5","Medium","Accessibility","Alt text derived from metadata; missing fallback when absent (`ProductViewer.tsx:84-88`)","Images may be read as empty","Ensure deterministic alt string"
