categoryId,seriesId,seriesName,productId,productName,slug,severity,issueCode,issueMessage,imageCount
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,critical,invalid_primary_image_path,Primary image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899aa009be5eb667a604f17_image_(5).png,2
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,high,invalid_gallery_image_path,Gallery image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899aa009be5eb667a604f17_image_(5).png,2
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,curvivo,Curvivo,curvivo,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,adaptable,Adaptable,adaptable,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,adaptable,Adaptable,adaptable,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,adaptable,Adaptable,adaptable,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,adaptable,Adaptable,adaptable,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,critical,invalid_primary_image_path,Primary image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899a993e44404f6f3bcc398_image_(3).png,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,high,invalid_gallery_image_path,Gallery image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899a993e44404f6f3bcc398_image_(3).png,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,deskpro,DeskPro,deskpro,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,critical,invalid_primary_image_path,Primary image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899a9c13d41a799c8276857_image_(4).png,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,high,invalid_gallery_image_path,Gallery image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899a9c13d41a799c8276857_image_(4).png,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,sleek,Sleek,sleek,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,trio-2,Trio,trio-2,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,trio-2,Trio,trio-2,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,trio-2,Trio,trio-2,medium,missing_subcategory,Subcategory is missing.,2
workstations,oando-workstations-series,Workstations Series,trio-2,Trio,trio-2,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,trio-2,Trio,trio-2,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,critical,invalid_primary_image_path,Primary image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899aa91f03e6a89282d60c6_image_(7).png,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,high,invalid_gallery_image_path,Gallery image asset not found: /images/catalog/686d3b55385e7b905b01d3a5_6899aa91f03e6a89282d60c6_image_(7).png,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,medium,missing_alt_text,Alt text is missing.,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,medium,legacy_slug_format,Slug does not follow canonical format for workstations.,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,medium,missing_subcategory,Subcategory is missing.,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,medium,missing_sustainability_score,Sustainability score is missing.,2
workstations,oando-workstations-series,Workstations Series,panel-pro,Panel Pro,panel-pro,medium,missing_documents,Spec sheet or brochure document is missing.,2
workstations,oando-workstations-series,Workstations Series,x-bench,X Bench,x-bench,critical,missing_primary_image,Primary image is missing.,0
