"Route","Model","Finding ID","Severity","Adjudication (Accept/Reject/Merge)","Chosen Owner","Sprint","Definition of Done"
"/","GPT52","HOME-1","High","Accept","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-2","Medium","Accept","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-3","Medium","Merge","Frontend + Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-4","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-5","Low","Merge","Frontend","Sprint 3","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/about","GPT52","ABOUT-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","GPT52","ABOUT-2","Medium","Merge","Frontend + Design","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","GPT52","ABOUT-3","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/about","GPT52","ABOUT-4","Medium","Merge","Frontend","Sprint 2","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/about","GPT52","ABOUT-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/projects","GPT52","PROJ-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT52","PROJ-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT52","PROJ-3","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/projects","GPT52","PROJ-4","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT52","PROJ-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/products","GPT52","PROD-1","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT52","PROD-2","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/products","GPT52","PROD-3","Medium","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/products","GPT52","PROD-4","Medium","Merge","Frontend","Sprint 2","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT52","PROD-5","Low","Accept","Frontend","Sprint 3","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks (category)","GPT52","CAT-1","Critical","Accept","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks (category)","GPT52","CAT-2","High","Accept","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks (category)","GPT52","CAT-3","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/desks (category)","GPT52","CAT-4","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
